Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
BCFF11,"Renda Variavel","R$ 210,21",15/05/2024,08/05/2024,"0.79 %","0.77 %","R$ 0,07"
KNRI11,"Renda Variavel","R$ 104,00",15/05/2024,01/05/2024,"0.68 %","0.61 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 79,30",15/05/2024,01/05/2024,"0.96 %","0.96 %","R$ 0,10"
RBFF11,"Renda Variavel","R$ 150,45",15/05/2024,01/05/2024,"0.89 %","0.83 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 114,00",15/05/2024,01/05/2024,"1.01 %","0.89 %","R$ 1,00"
RZAG11,"Renda Variavel","R$ 46,30",15/05/2024,01/05/2024,"1.11 %","1.21 %","R$ 0,10"
TGAR11,"Renda Variavel","R$ 80,40",15/05/2024,01/05/2024,"1.14 %","1.06 %","R$ 1,34"
VISC11,"Renda Variavel","R$ 72,00",15/05/2024,01/05/2024,"0.92 %","0.83 %","R$ 1,00"
KNCR11,"Renda Variavel","R$ 54,00",14/05/2024,01/05/2024,"1.01 %","0.95 %","R$ 1,00"
GGRC11,"Renda Variavel","R$ 45,90",09/05/2024,02/05/2024,"0.76 %","0.80 %","R$ 0,09"
HSML11,"Renda Variavel","R$ 52,00",08/05/2024,30/04/2024,"0.85 %","0.83 %","R$ 0,80"
SNAG11,"Renda Variavel","R$ 70,77",25/04/2024,15/04/2024,"1.04 %","1.04 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 147,50",15/04/2024,28/03/2024,"0.87 %","0.79 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 114,00",15/04/2024,28/03/2024,"1.01 %","0.88 %","R$ 1,00"
BCFF11,"Renda Variavel","R$ 213,52",12/04/2024,05/04/2024,"0.87 %","0.83 %","R$ 0,08"
KNRI11,"Renda Variavel","R$ 104,00",12/04/2024,28/03/2024,"0.68 %","0.60 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 79,30",12/04/2024,28/03/2024,"0.96 %","0.95 %","R$ 0,10"
RZAG11,"Renda Variavel","R$ 46,30",12/04/2024,28/03/2024,"1.11 %","1.20 %","R$ 0,10"
TGAR11,"Renda Variavel","R$ 79,80",12/04/2024,28/03/2024,"1.13 %","1.04 %","R$ 1,33"
VISC11,"Renda Variavel","R$ 72,00",12/04/2024,28/03/2024,"0.92 %","0.82 %","R$ 1,00"
KNCR11,"Renda Variavel","R$ 51,30",11/04/2024,28/03/2024,"0.96 %","0.92 %","R$ 0,95"
GGRC11,"Renda Variavel","R$ 45,90",08/04/2024,01/04/2024,"0.76 %","0.77 %","R$ 0,09"
HSML11,"Renda Variavel","R$ 52,00",05/04/2024,28/03/2024,"0.85 %","0.82 %","R$ 0,80"
SNAG11,"Renda Variavel","R$ 70,77",25/03/2024,15/03/2024,"1.04 %","1.04 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 147,50",15/03/2024,29/02/2024,"0.87 %","0.81 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 114,00",15/03/2024,29/02/2024,"1.01 %","0.88 %","R$ 1,00"
BCFF11,"Renda Variavel","R$ 201,04",14/03/2024,07/03/2024,"0.82 %","0.80 %","R$ 0,07"
KNRI11,"Renda Variavel","R$ 104,00",14/03/2024,29/02/2024,"0.68 %","0.60 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 79,30",14/03/2024,29/02/2024,"0.96 %","0.97 %","R$ 0,10"
RZAG11,"Renda Variavel","R$ 48,51",14/03/2024,29/02/2024,"1.17 %","1.22 %","R$ 0,11"
TGAR11,"Renda Variavel","R$ 79,80",14/03/2024,29/02/2024,"1.13 %","1.06 %","R$ 1,33"
VISC11,"Renda Variavel","R$ 72,00",14/03/2024,29/02/2024,"0.92 %","0.83 %","R$ 1,00"
KNCR11,"Renda Variavel","R$ 51,30",13/03/2024,29/02/2024,"0.96 %","0.91 %","R$ 0,95"
GGRC11,"Renda Variavel","R$ 45,90",08/03/2024,01/03/2024,"0.76 %","0.78 %","R$ 0,90"
HSML11,"Renda Variavel","R$ 52,00",07/03/2024,29/02/2024,"0.85 %","0.83 %","R$ 0,80"
SNAG11,"Renda Variavel","R$ 70,77",23/02/2024,15/02/2024,"1.04 %","1.04 %","R$ 0,11"
BCFF11,"Renda Variavel","R$ 182,21",16/02/2024,07/02/2024,"0.79 %","0.77 %","R$ 0,07"
HSLG11,"Renda Variavel","R$ 23,68",16/02/2024,31/01/2024,"0.80 %","0.76 %","R$ 0,74"
KNRI11,"Renda Variavel","R$ 104,00",16/02/2024,31/01/2024,"0.68 %","0.61 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 79,30",16/02/2024,31/01/2024,"0.96 %","0.93 %","R$ 0,10"
RZAG11,"Renda Variavel","R$ 44,77",16/02/2024,31/01/2024,"1.16 %","1.19 %","R$ 0,11"
TGAR11,"Renda Variavel","R$ 79,20",16/02/2024,31/01/2024,"1.12 %","1.07 %","R$ 1,32"
VISC11,"Renda Variavel","R$ 72,00",16/02/2024,31/01/2024,"0.92 %","0.83 %","R$ 1,00"
XPLG11,"Renda Variavel","R$ 25,74",16/02/2024,31/01/2024,"0.73 %","0.71 %","R$ 0,78"
KNCR11,"Renda Variavel","R$ 57,78",15/02/2024,31/01/2024,"1.08 %","1.03 %","R$ 1,07"
RBFF11,"Renda Variavel","R$ 135,00",15/02/2024,31/01/2024,"0.88 %","0.81 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 114,00",15/02/2024,31/01/2024,"1.01 %","0.89 %","R$ 1,00"
GGRC11,"Renda Variavel","R$ 43,20",08/02/2024,01/02/2024,"0.76 %","0.78 %","R$ 0,90"
HSML11,"Renda Variavel","R$ 47,12",07/02/2024,31/01/2024,"0.81 %","0.79 %","R$ 0,76"
SNAG11,"Renda Variavel","R$ 49,77",25/01/2024,15/01/2024,"1.04 %","1.04 %","R$ 0,11"
BCFF11,"Renda Variavel","R$ 160,02",15/01/2024,08/01/2024,"0.80 %","0.75 %","R$ 0,07"
HSLG11,"Renda Variavel","R$ 23,68",15/01/2024,28/12/2023,"0.80 %","0.75 %","R$ 0,74"
KNRI11,"Renda Variavel","R$ 104,00",15/01/2024,28/12/2023,"0.68 %","0.60 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 87,23",15/01/2024,28/12/2023,"1.06 %","1.04 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 140,40",15/01/2024,28/12/2023,"0.91 %","0.85 %","R$ 0,52"
RBVA11,"Renda Variavel","R$ 114,00",15/01/2024,28/12/2023,"1.01 %","0.88 %","R$ 1,00"
RZAG11,"Renda Variavel","R$ 46,80",15/01/2024,28/12/2023,"1.21 %","1.23 %","R$ 0,12"
TGAR11,"Renda Variavel","R$ 79,20",15/01/2024,28/12/2023,"1.12 %","1.08 %","R$ 1,32"
XPLG11,"Renda Variavel","R$ 25,74",15/01/2024,28/12/2023,"0.73 %","0.72 %","R$ 0,78"
KNCR11,"Renda Variavel","R$ 54,54",12/01/2024,28/12/2023,"1.02 %","0.97 %","R$ 1,01"
VISC11,"Renda Variavel","R$ 72,00",12/01/2024,28/12/2023,"0.92 %","0.81 %","R$ 1,00"
GGRC11,"Renda Variavel","R$ 43,20",09/01/2024,02/01/2024,"0.76 %","0.79 %","R$ 0,90"
HSML11,"Renda Variavel","R$ 47,12",08/01/2024,28/12/2023,"0.81 %","0.79 %","R$ 0,76"
SNAG11,"Renda Variavel","R$ 52,14",22/12/2023,15/12/2023,"1.09 %","1.09 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 137,70",15/12/2023,30/11/2023,"0.89 %","0.85 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 114,00",15/12/2023,30/11/2023,"1.01 %","0.93 %","R$ 1,00"
BCFF11,"Renda Variavel","R$ 152,32",14/12/2023,07/12/2023,"0.80 %","0.78 %","R$ 0,07"
HSLG11,"Renda Variavel","R$ 21,46",14/12/2023,30/11/2023,"0.80 %","0.81 %","R$ 0,74"
KNRI11,"Renda Variavel","R$ 104,00",14/12/2023,30/11/2023,"0.68 %","0.63 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 87,23",14/12/2023,30/11/2023,"1.06 %","1.03 %","R$ 0,11"
RZAG11,"Renda Variavel","R$ 44,73",14/12/2023,30/11/2023,"1.21 %","1.23 %","R$ 0,12"
TGAR11,"Renda Variavel","R$ 85,80",14/12/2023,30/11/2023,"1.21 %","1.18 %","R$ 1,43"
VISC11,"Renda Variavel","R$ 72,00",14/12/2023,30/11/2023,"0.92 %","0.84 %","R$ 1,00"
XPLG11,"Renda Variavel","R$ 25,74",14/12/2023,30/11/2023,"0.73 %","0.73 %","R$ 0,78"
KNCR11,"Renda Variavel","R$ 54,54",13/12/2023,30/11/2023,"1.02 %","0.99 %","R$ 1,01"
GGRC11,"Renda Variavel","R$ 41,40",08/12/2023,01/12/2023,"0.78 %","0.81 %","R$ 0,92"
HSML11,"Renda Variavel","R$ 43,66",07/12/2023,30/11/2023,"0.79 %","0.79 %","R$ 0,74"
